season_id,gm_team_id,franchise_id,team_name
55,2716,1,"Supernova"
55,3771,2,"Upper Street Ballers"
55,3770,3,"E=MC SWISH"
55,3835,4,"Pentonville Pacers"
59,2716,1,"Supernova"
59,4232,5,"London Bulls"
59,3771,2,"Upper Street Ballers"
59,3770,3,"E=MC SWISH"
59,4202,6,"Euston Rockets"
59,4189,7,"Islington Devils"
62,4611,6,"Rockets"
62,2716,1,"Supernova"
62,3770,3,"E=MC SWISH"
62,3771,2,"Upper Street Ballers"
62,4534,8,"Shoreditch Shooters"
62,4232,5,"London Bulls"
62,4626,9,"N1 JAM"
70,2716,1,"Supernova"
70,3770,3,"E=MC SWISH"
70,4611,6,"Rockets"
70,4896,10,"Lost Angel Lakers"
70,4949,11,"Beers, Burritos & Basketball"
70,5015,12,"Ocelots & Iguanas"
70,5078,13,"NOT reloaded"
73,3770,3,"E=MC SWISH"
73,4611,6,"Rockets"
73,4896,10,"Los Angels"
73,4949,11,"Beers, Burritos & Basketball"
73,5015,12,"Ocelots & Iguanas"
73,5078,13,"NOT reloaded"
73,5425,14,"Markit"
79,3770,3,"E=MC SWISH"
79,4896,10,"Los Angels"
79,4611,6,"Rockets"
79,4949,11,"Beers, Burritos & Basketball"
79,5078,13,"NOT reloaded"
79,5015,12,"Ocelots & Iguanas"
79,5425,14,"Markit"
85,3770,3,"Camden Hells"
85,4949,11,"Beers, Burritos & Basketball"
85,5078,15,"RELOADED"
85,4611,6,"Rockets"
85,5425,13,"Markit"
85,5015,12,"Ocelots & Iguanas"
85,4896,10,"New Angels"
80,5078,15,"RELOADED"
80,4611,6,"Rockets"
80,4949,11,"Beers, Burritos & Basketball"
80,4896,10,"New Angels"
80,3770,3,"Camden Hells"
80,5015,12,"Ocelots"
80,5425,14,"Markit"
86,4896,10,"Lost Angels"
86,4611,6,"Rockets"
86,3770,3,"Camden Hells"
86,5078,15,"RELOADED"
86,5015,12,"Ocelots"
86,5425,14,"Markit"
86,4949,11,"Beers, Burritos & Basketball"
96,4896,10,"Lost Angels"
96,5078,15,"RELOADED"
96,4949,11,"Beers, Burritos & Basketball"
96,4611,6,"Rockets"
96,3770,3,"Camden Hells"
96,5015,12,"Ocelots"
96,5425,14,"Markit"
98,4896,10,"Lost Angels"
98,4611,6,"Rockets"
98,9047,16,"Alley-Oops!"
98,4949,11,"Burritos"
98,5078,15,"RELOADED"
98,3770,3,"Camden Hells"
98,5015,12,"Ocelots"
100,5078,15,"RELOADED"
100,4611,6,"Rockets"
100,4949,11,"Burritos"
100,4896,10,"Lost Angels"
100,9047,16,"Alley-Oops!"
100,5015,12,"Ocelots"
100,5425,14,"Markit"
101,5078,15,"RELOADED"
101,4949,11,"Burritos"
101,4611,6,"Rockets"
101,4896,10,"Lost Angels"
101,3770,3,"Camden Hells"
101,5015,12,"Ocelots"
101,5425,14,"Markit"
102,4611,6,"Rockets"
102,4949,11,"Burritos"
102,5078,15,"RELOADED"
102,9047,16,"Alley-Oops!"
102,4896,10,"Lost Angels"
102,5015,12,"Ocelots"
102,5425,14,"U.N.B.A."
104,5078,15,"RELOADED"
104,4896,10,"Lost Angels"
104,4949,11,"Burritos"
104,5015,12,"Old Street Ocelots"
104,4611,6,"Rockets"
104,9046,16,"Alley-Oops"
104,5425,14,"U.N.B.A."
104,10731,17,"Halo Hoops"
105,4896,10,"Lost Angels"
105,4611,6,"Rockets"
105,10731,17,"Halo Hoops"
105,5425,14,"U.N.B.A."
105,9046,16,"Alley-Oops"
105,5078,15,"RELOADED"
105,4949,11,"Burritos"
105,5015,12,"Old Street Ocelots"
